Portal,Published Date,Headline,Author,URL Link,Sentiment Label,Sentiment Score,Result after checked,Need to amend in Excle
The NewsMinute,7/8/2024,Ground Report: How BJP made Ezhava voters sway right in Left bastion of Alappuzha,Haritha John,https://www.thenewsminute.com/kerala/ground-report-how-bjp-made-ezhava-voters-sway-right-in-left-bastion-of-alappuzha,Neutral,1,correct,
The NewsMinute,7/8/2024,"In Kerala, an amoebic infection killed three children in two months",Cris,https://www.thenewsminute.com/kerala/in-kerala-an-amoebic-infection-killed-three-children-in-two-months,Negative,0.31,correct,
The NewsMinute,7/8/2024,"Bengaluru NGO sets up shelter to provide support to transmasculine, intersex persons",Krishnapriya P,https://www.thenewsminute.com/karnataka/bengaluru-ngo-sets-up-shelter-to-provide-support-to-transmasculine-intersex-persons,Positive,0.197,correct,
The NewsMinute,7/8/2024,"Kerala Cricket Assn sat on sexual assault, bullying complaints against coach since 2018",Haritha Manav,https://www.thenewsminute.com/kerala/kerala-cricket-assn-sat-on-sexual-assault-bullying-complaints-against-coach-since-2018,Negative,0.51,One Author Missing ,One more Author needs to be updated in excel as per web page which is  Korah Abraham
The NewsMinute,7/5/2024,Madras HC says Rs 10 Lakh compensation to kin of Kallakurichi victims is too high,TNM Staff,https://www.thenewsminute.com/tamil-nadu/madras-hc-says-rs-10-lakh-compensation-to-kin-of-kallakurichi-victims-is-too-high,Negative,0.141,correct,
The NewsMinute,7/4/2024,"Kallakurichi tragedy: No, prohibition will not end illicit liquor deaths",Bharathy Singaravel,https://www.thenewsminute.com/long-form/kallakurichi-tragedy-no-prohibition-will-not-end-illicit-liquor-deaths,Negative,0.452,correct,
The NewsMinute,7/4/2024,Kallakurichi tragedy: CB-CID seizes 2000 litres of Methanol from petrol pump,TNM Staff,https://www.thenewsminute.com/tamil-nadu/kallakurichi-tragedy-cb-cid-seizes-2000-litres-of-methanol-from-petrol-pump,Negative,0.306,correct,
The NewsMinute,7/1/2024,Kallukurichi tragedy: Madras HC takes up suo motu case on illicit liquor business,Azeefa Fathima,https://www.thenewsminute.com/tamil-nadu/kallukurichi-tragedy-madras-hc-takes-up-suo-motu-case-on-illicit-liquor-business,Negative,0.268,correct,
The NewsMinute,6/28/2024,"TN earns Rs 44,121 cr from TASMAC, spends only Rs 5 cr on rehab of bootleggers",Nidharshana Raju,https://www.thenewsminute.com/tamil-nadu/tn-earns-rs-44121-cr-from-tasmac-spends-only-rs-5-cr-on-rehab-of-bootleggers,Neutral,1,correct,
The NewsMinute,7/8/2024,Ullozhukku reignites debate on representation of women in Malayalam cinema,Aaliya Farzeen Ashraf,https://www.thenewsminute.com/flix/ullozhukku-reignites-debate-on-representation-of-women-in-malayalam-cinema,Neutral,1,correct,
The NewsMinute,7/7/2024,"WCC welcomes SIC order to issue Hema Committee report, says it gives hope",TNM Staff,https://www.thenewsminute.com/kerala/wcc-welcomes-sic-order-to-issue-hema-committee-report-says-it-gives-hope,Positive,0.337,correct,
The NewsMinute,7/5/2024,Kill review: Lakshya’s train thriller is packed with fantastic action sequences,Balakrishna Ganeshan,https://www.thenewsminute.com/flix/kill-review-lakshyas-train-thriller-is-packed-with-fantastic-action-sequences,Negative,0.266,correct,
The NewsMinute,7/5/2024,"Bisi-Bisi Ice-Cream review: A funny, charming entertainer elevated by its central cast",Swaroop Kodur,https://www.thenewsminute.com/flix/bisi-bisi-ice-cream-review-a-funny-charming-entertainer-elevated-by-its-central-cast,Positive,0.538,correct,
ThePrint,7/10/2024,"SOP for entry, medics on standby — how team plans to inventory Jagannath temple’s Ratna Bhandar",Sreyashi Dey,https://theprint.in/india/sop-for-entry-medics-on-standby-how-team-plans-to-inventory-jagannath-temples-ratna-bhandar/2168463/,Neutral,1,correct,
ThePrint,7/10/2024,"‘Unhappy’ father who killed & buried his newborn female twins, arrested. Wished for a male child",Bismee Taskin,https://theprint.in/india/unhappy-father-who-killed-buried-his-newborn-female-twins-arrested-wished-for-a-male-child/2168348/,Negative,0.388,correct,
ThePrint,7/10/2024,"Modi ‘bear-hugs’ Putin, Russia ‘strategic spoiler’ for the West & ‘warning signs’ for India’s economy",Shivani Mago,https://theprint.in/global-pulse/modi-bear-hugs-putin-russia-strategic-spoiler-for-the-west-warning-signs-for-indias-economy/2168410/,Neutral,1,correct,
ThePrint,7/10/2024,"Myanmar deputy PM leads delegation to India for BIMSTEC meet, ‘will strengthen regional cooperation’",Keshav Padmanabhan,https://theprint.in/diplomacy/myanmar-deputy-pm-leads-delegation-to-india-for-bimstec-meet-will-strengthen-regional-cooperation/2168296/,Positive,0.15,correct,
ThePrint,7/10/2024,"After 16 years, SC comes to rescue of visually impaired CSE 2008 candidates, directs appointment",Apoorva Mandhani,https://theprint.in/judiciary/after-16-years-sc-comes-to-rescue-of-visually-impaired-cse-2008-candidates-directs-appointment/2168240/,Positive,0.191,correct,
ThePrint,7/10/2024,"RSS worker, Khattar loyalist & 1st time MLA — who is new Haryana BJP president Mohan Lal Badoli",Sushil Manav,https://theprint.in/politics/rss-worker-khattar-loyalist-1st-time-mla-who-is-new-haryana-bjp-president-mohan-lal-badoli/2167976/,Positive,0.143,correct,
ThePrint,7/10/2024,Massive search underway after terrorists kill 5 soldiers in Jammu’s Kathua,ANI,https://theprint.in/india/massive-search-underway-after-terrorists-kill-5-soldiers-in-jammus-kathua/2167972/,Negative,0.524,correct,
ThePrint,7/10/2024,Assembly bypolls: Voting underway in 13 seats across 7 states,ANI,https://theprint.in/politics/assembly-bypolls-voting-underway-in-13-seats-across-7-states/2167966/,Neutral,1,correct,
ThePrint,7/10/2024,"18 killed, 19 injured after bus rams into milk tanker in UP’s Unnao",PTI,https://theprint.in/india/18-killed-19-injured-as-bus-hits-milk-tanker-in-ups-unnao/2167901/,Negative,0.396,correct,
ThePrint,7/9/2024,"Modi tells Putin that ‘heart bleeds’ when children are killed, day after lethal strike on children’s hospital in Kyiv",Vladimir Soldatkin,https://theprint.in/diplomacy/indias-modi-tells-putin-that-heart-bleeds-when-children-are-killed/2167168/,Negative,0.261,correct,
ThePrint,7/10/2024,‘Just want to convert Nicobar into Singapore’ — why the island project is a ‘monumental folly’,Akanksha Mishra,https://theprint.in/feature/around-town/just-want-to-convert-nicobar-into-singapore-why-the-island-project-is-a-monumental-folly/2168192/,Positive,0.091,correct,
ThePrint,7/10/2024,"Denied cabinet berth in new NDA govt, Dalit Karnataka BJP MP calls out own party as being ‘anti-Dalit’",Sharan Poovanna,https://theprint.in/politics/denied-cabinet-berth-in-new-nda-govt-dalit-karnataka-bjp-mp-calls-out-own-party-as-being-anti-dalit/2167928/,Negative,0.134,correct,
ThePrint,7/10/2024,"In AIADMK’s boycott of today’s Vikravandi bypoll, a message to former ally PMK",Prabhakar Tamilarasu,https://theprint.in/politics/in-aiadmks-boycott-of-todays-vikravandi-bypoll-a-message-to-former-ally-pmk/2167343/,Negative,0.173,correct,
ThePrint,7/9/2024,"Embroiled in row over ‘beef passes’, Union MoS suggests BSF ‘giving political shelter to TMC’",Sreyashi Dey,https://theprint.in/politics/embroiled-in-row-over-beef-passes-union-mos-suggests-bsf-giving-political-shelter-to-tmc/2167199/,Neutral,1,correct,
ThePrint,7/9/2024,"Kirti Chakra awardee’s mother meets Rahul Gandhi, hopes he ‘does something’ about Agnipath scheme",Shikha Salaria,https://theprint.in/politics/kirti-chakra-awardees-mother-meets-rahul-gandhi-hopes-he-does-something-about-agnipath-scheme/2167381/,Positive,0.177,correct,
ThePrint,7/9/2024,"BJP’s reports pinpoint Agnipath as factor in LS setbacks across states, cadres want review of scheme",Shanker Arnimesh,https://theprint.in/politics/bjps-reports-pinpoint-agnipath-as-factor-in-ls-setbacks-across-states-cadres-want-review-of-scheme/2167109/,Positive,0.08,correct,
ThePrint,7/8/2024,"Wiped out in Jharkhand tribal seats, BJP rakes up ‘demographic change’ due to ‘Bangladeshi infiltrators’",Niraj Sinha,https://theprint.in/politics/wiped-out-in-jharkhand-tribal-seats-bjp-rakes-up-demographic-change-due-to-bangladeshi-infiltrators/2164775/,Neutral,1,correct,
ThePrint,7/9/2024,Modi govt walking tightest of tightrope with first visit to Russia; hell of a contradiction here,ThePrint Team,https://theprint.in/50-word-edit/modi-govt-walking-tightest-of-tightrope-with-first-visit-to-russia-hell-of-a-contradiction-here/2166779/,Negative,0.337,correct,
ThePrint,7/9/2024,‘Solution can’t be found on battlefield’ — Modi’s clear message to Putin on Ukraine war,Pia Krishnankutty,https://theprint.in/diplomacy/solution-cant-be-found-on-battlefield-modis-clear-message-to-putin-on-ukraine-war/2166404/,Negative,0.211,correct,
ThePrint,7/9/2024,"Parkinson’s specialist treated other patients, examined Biden only for annual physical — White House",Keshav Padmanabhan,https://theprint.in/world/parkinsons-specialist-treated-other-patients-examined-biden-only-for-annual-physical-white-house/2167248/,Neutral,1,correct,
ThePrint,7/10/2024,Chinese are angry that West isn’t outraged enough by Modi meeting Putin,Sana Hashmi,https://theprint.in/opinion/chinese-are-angry-that-west-isnt-outraged-enough-by-modi-meeting-putin/2167665/,Negative,0.405,correct,
ThePrint,7/9/2024,How many times has IAF changed its roundel? New book on Indian armed forces has it all,Smruti Deshpande,https://theprint.in/defence/how-many-times-has-iaf-changed-its-roundel-new-book-on-indian-armed-forces-has-it-all/2166429/,Neutral,1,correct,
ThePrint,7/10/2024,"Kamal Haasan’s birth was as dramatic as his films. ‘He was huge, pink & a bit scary’",K Hariharan,https://theprint.in/pageturner/excerpt/kamal-haasans-birth-was-as-dramatic-as-his-films-he-was-huge-pink-a-bit-scary/2167965/,Positive,0.141,correct,
ThePrint,7/10/2024,"Thanjavur PhD scholar gets life for ‘sexually abusing minors, using them to make pornographic content’",Mayank Kumar,https://theprint.in/india/thanjavur-phd-scholar-gets-life-for-sexually-abusing-minors-using-them-to-make-pornographic-content/2168092/,Negative,0.176,correct,
ThePrint,7/10/2024,"SIT pins Hathras stampede blame on satsang organisers & local admin, UP govt suspends 6 officials",Shikha Salaria,https://theprint.in/india/sit-pins-hathras-stampede-blame-on-satsang-organisers-local-admin-up-govt-suspends-6-officials/2166992/,Negative,0.302,correct,
ThePrint,7/10/2024,"In Pune, IAS trainee’s ‘misconduct’ & ‘VIP’ demands result in transfer, flak from civil servants",Purva Chitnis,https://theprint.in/india/in-pune-ias-trainees-misconduct-vip-demands-result-in-transfer-flak-from-civil-servants/2167571/,Neutral,1,correct,
ThePrint,7/9/2024,"Karnataka BJP MLA says Rahul should be slapped in Parliament, Congress dares him to touch LoP",Sharan Poovanna,https://theprint.in/india/karnataka-bjp-mla-says-rahul-should-be-slapped-in-parliament-congress-dares-him-to-touch-lop/2167164/,Neutral,1,correct,
ThePrint,7/9/2024,"Union govt reopens PLI Scheme for white goods, extends application window for 90 days",ThePrint Team,https://theprint.in/india/union-govt-reopens-pli-scheme-for-white-goods-extends-application-window-for-90-days/2167110/,Positive,0.103,correct,
ThePrint,7/10/2024,"54 lakh informal jobs lost, stagnant worker output — how DeMo, GST & COVID hit India’s manufacturing",TCA Sharad Raghavan,https://theprint.in/economy/54-lakh-informal-jobs-lost-stagnant-worker-output-how-demo-gst-covid-hit-indias-manufacturing/2168103/,Negative,0.141,correct,
ThePrint,7/9/2024,Bengaluru bike taxi riders fear more attacks on fraternity as govt flip-flop leaves them stranded,Sharan Poovanna,https://theprint.in/economy/bengaluru-bike-taxi-riders-fear-more-attacks-on-fraternity-as-govt-flip-flop-leaves-them-stranded/2167035/,Negative,0.33,correct,
ThePrint,7/8/2024,"Jobs, rural India likely to be focus of new Modi government’s first budget, says Goldman Sachs",Ira Dugal,https://theprint.in/india/jobs-rural-india-likely-to-be-focus-of-new-modi-governments-first-budget-says-goldman-sachs/2164977/,Neutral,1,correct,
ThePrint,7/8/2024,Govt grants patent to Bengaluru firm for first-of-its-kind system to manage Aadhaar data,Soumya Pillai,https://theprint.in/tech/govt-grants-patent-to-bengaluru-firm-for-first-of-its-kind-system-to-manage-aadhaar-data/2165732/,Positive,0.137,correct,
ThePrint,7/8/2024,"Only 41% projects under housing ministry’s now-lapsed satellite town scheme complete, CAG tells Centre",Risha Chitlangia,https://theprint.in/india/governance/only-41-projects-under-housing-ministrys-now-lapsed-satellite-town-scheme-complete-cag-tells-centre/2165260/,Neutral,1,correct,
ThePrint,7/8/2024,"In Bihar, a ‘suspense’ bridge — will it collapse or not?",ThePrint Team,https://theprint.in/last-laughs/in-bihar-a-suspense-bridge-will-it-collapse-or-not/2165423/,Negative,0.286,correct,
ThePrint,7/10/2024,Bigg Boss going soft on Armaan Malik’s slap is a new low. Salman wouldn’t have let it slide,Almina Khatoon,https://theprint.in/opinion/pov/bigg-boss-going-soft-on-armaan-maliks-slap-is-a-new-low-salman-wouldnt-have-let-it-slide/2167301/,Negative,0.112,correct,
ThePrint,7/10/2024,Alec Baldwin ‘Rust’ jurors to hear opening statements,Reuters,https://theprint.in/entertainment/alec-baldwin-rust-jurors-to-hear-opening-statements/2168444/,Neutral,1,correct,
ThePrint,7/10/2024,Manchester United reports wider loss in third quarter,Reuters,https://theprint.in/sport/manchester-united-reports-wider-loss-in-third-quarter/2168590/,Positive,0.252,correct,
ThePrint,7/9/2024,Meta and Vodafone optimise video to boost network efficiency,Reuters,https://theprint.in/tech/meta-and-vodafone-optimise-video-to-boost-network-efficiency/2166523/,Positive,0.574,correct,
TheWeek,7/11/2024,Can we expect Panchayat's Sachiv ji to join Mirzapur universe in Season 4?,Web Desk,https://www.theweek.in/news/entertainment/2024/07/11/can-we-expect-panchayat-sachiv-ji-in-mirzapur-season-4.html,Positive,0.155,correct,
TheWeek,7/10/2024,Bihar  9.27 voter turnout till 9 am in Rupauli assembly bypoll,PTI,https://www.theweek.in/wire-updates/national/2024/07/10/cal4-bh-bypoll-turnout.html,Neutral,1,correct,
TheWeek,7/11/2024,Kerala's Vizhinjam port receives its first mothership; 'San Fernando' gets a water salute,Web Desk,https://www.theweek.in/news/biz-tech/2024/07/11/keralas-vizhinjam-port-receives-its-first-mothership-san-fernando-gets-a-water-salute.html,Neutral,1,correct,
TheWeek,7/11/2024,"State divided into two parts, no improvement in Manipur situation: Rahul Gandhi",Web desk,https://www.theweek.in/news/india/2024/07/11/state-divided-into-two-parts-no-improvement-in-manipur-situation-rahul-gandhi.html,Positive,0.197,correct,
