Portal,Published Date,Headline,Author,URL Link,Sentiment Label,Sentiment Score,Result after checked,Need to amend in Excle
TheWeek,7/10/2024,India take series lead over Zimbabwe with all-round show in third T20,PTI,https://www.theweek.in/news/sports/2024/07/10/india-take-series-lead-over-zimbabwe-with-all-round-show-in-thir.html,Neutral,1,correct,
TheWeek,7/10/2024,World Population Day: These are the top 5 least populated countries,Web Desk,https://www.theweek.in/leisure/society/2024/07/10/world-population-day-these-are-the-top-5-least-populated-countries.html,Positive,0.167,correct,
TheWeek,7/11/2024,Energy Opportunities - A Big Investment Theme,The Week Focus,https://www.theweek.in/konnect/economy/2024/07/11/energy-opportunities-a-big-investment-theme.html,Positive,0.61,correct,
TheWeek,7/10/2024,Wild Wild Punjab: A 120-minute long parade of blundering incompetents,Suparna  Sharma,https://www.theweek.in/review/movies/2024/07/10/wild-wild-punjab-a-120-minute-long-parade-of-blundering-incompetents.html,Neutral,1,correct,
TheWeek,7/11/2024,"Markets rebound in early trade on global market rally, foreign fund inflows",PTI,https://www.theweek.in/news/biz-tech/2024/07/11/markets-rebound-in-early-trade-on-global-market-rally-foreign-fund-inflows.html,Neutral,1,correct,
TheWeek,7/11/2024,Trump's vice president choice down to three,Ajish P Joy,https://www.theweek.in/voices/columns/ajish-p-joy/2024/07/11/trumps-vice-president-choice-down-to-three.html,Neutral,1,correct,
TheWeek,7/11/2024,CBI likely to file chargesheet against youth who circulated 'doctored' screenshot of UGC-NET paper,PTI,https://www.theweek.in/news/india/2024/07/11/cbi-likely-to-file-chargesheet-against-youth-who-circulated-doctored-screenshot-of-ugc-net-paper.html,Neutral,1,correct,
TheWeek,7/11/2024,India’s electric vehicle revolution is seeing its thunder stolen by an unlikely suspect,K. Sunil Thomas,https://www.theweek.in/news/biz-tech/2024/07/11/indias-electric-vehicle-revolution-is-seeing-its-thunder-stolen-by-an-unlikely-suspect.html,Negative,0.329,correct,
TheWeek,7/10/2024,NEWSALERT,PTI,https://www.theweek.in/wire-updates/national/2024/07/10/lgd5-newsalert--sc-west-bengal-cbi-consent-3.html,Neutral,1,correct,
TheWeek,7/11/2024,"India likely to skip Pakistan for Champions Trophy, suggests Dubai, Sri Lanka as alternate venues",Web desk,https://www.theweek.in/news/sports/2024/07/11/india-likely-to-skip-pakistan-for-champions-trophy-suggests-dubai-sri-lanka-as-alternate-venues.html,Positive,0.195,correct,
TheWeek,7/11/2024,"Fake Telegram video, bell-curve, increase in marks: What NTA, Centre told SC in affidavit",Web Desk,https://www.theweek.in/news/india/2024/07/11/fake-telegram-video-bell-curve-increase-in-marks-what-nta-centre-told-sc-in-affidavit.html,Negative,0.178,correct,
TheWeek,7/11/2024,Manjummel Boys' frenzy: Here's why re-release of Kamal Haasan's  'Gunaa' was stopped by Madras HC,Web Desk,https://www.theweek.in/news/entertainment/2024/07/11/kollywood-manjummel-boys-frenzy-here-s-why-re-release-of-kamal-haasan-s-gunaa-was-stopped-by-madras-hc.html,Negative,0.244,correct,
TheWeek,7/10/2024,Did Lionel Messi actually pose with baby Lamine Yamal? Here's the truth about the viral photo,Web Desk,https://www.theweek.in/news/sports/2024/07/10/did-lionel-messi-actually-pose-with-baby-lamine-yamal-heres-the-truth-about-the-viral-photo.html,Positive,0.133,correct,
TheWeek,7/10/2024,NEWSALERT,PTI,https://www.theweek.in/wire-updates/national/2024/07/10/lgd4-newsalert-sc-wb-cbi-consent-2.html,Neutral,1,correct,
TheWeek,7/10/2024,How cell and gene therapies revolutionising cancer care in India,Dr Gaurav Kharya,https://www.theweek.in/news/health/2024/07/10/how-cell-and-gene-therapies-revolutionising-cancer-care-in-india.html,Negative,0.282,correct,
TheWeek,7/11/2024,India’s first GenAI conclave kicks off in Kochi,Mathew T George,https://www.theweek.in/news/india/2024/07/11/indias-first-genai-conclave-kicks-off-in-kochi.html,Neutral,1,correct,
TheWeek,7/11/2024,Explained: SC judgement on maintenance for divorced Muslim women,Soni Mishra,https://www.theweek.in/news/india/2024/07/11/explained-sc-judgment-on-maintenance-for-divorced-muslim-women.html,Neutral,1,correct,
TheWeek,7/10/2024,Over 4 600 pilgrims leave Jammu base camp to join Amarnath Yatra,PTI,https://www.theweek.in/wire-updates/national/2024/07/10/des6-jk-amarnath-batch.html,Positive,0.177,correct,
TheWeek,7/11/2024,Disha Salian death case: Mumbai police summons BJP MLA Nitesh Rane,PTI,https://www.theweek.in/news/india/2024/07/11/disha-salian-death-case-mumbai-police-summons-bjp-mla-nitesh-rane.html,Negative,0.281,correct,
TheWeek,7/11/2024,From healthy to super-healthy: The changing landscape of food industry in India,Paul Mathews And Koshy Mathew,https://www.theweek.in/news/health/2024/07/11/from-healthy-to-super-healthy-the-changing-landscape-of-food-industry-in-india.html,Positive,0.197,Correct,
TheWeek,7/10/2024,Mirzapur Season 3 Ending Explained: Why did Kaleen Bhaiya kill [SPOILER] in the climax episode?,Sachin Jose,https://www.theweek.in/news/entertainment/2024/07/10/mirzapur-season-3-ending-explained-why-did-kaleen-bhaiya-kill-spoiler-in-the-climax-episode.html,Negative,0.266,Correct,
TheWeek,7/11/2024,NEET-UG row: SC to decide on retest on July 18,Web desk,https://www.theweek.in/news/india/2024/07/11/neet-ug-row-sc-to-decide-on-retest-on-july-18.html,Neutral,1,Correct,
TheWeek,7/11/2024,Kakuda review: A hehe-haha horror film with lovely performances,Suparna  Sharma,https://www.theweek.in/review/movies/2024/07/11/kakuda-review-a-hehe-haha-horror-film-with-lovely-performances.html,Neutral,0.444,Correct,
TheWeek,7/10/2024,Anant Ambani-Radhika Merchant wedding 'a circus': Anurag Kashyap’s daughter Aaliyah reveals why she refused to attend it,Web Desk,https://www.theweek.in/news/entertainment/2024/07/10/anant-ambani-radhika-merchant-wedding-a-circus-anurag-kashyaps-daughter-aaliyah-reveals-why-she-refused-to-attend-it.html,Negative,0.121,Correct,
TheWeek,7/10/2024,Trump challenges Biden to another debate and golf match,PTI,https://www.theweek.in/news/world/2024/07/10/trump-challenges-biden-to-another-debate-and-golf-match.html,Positive,0.14,Correct,
TheWeek,7/11/2024,"Not Yuddha, we gave the world Buddha': What PM Modi said in Austria | 10 quotes",Web Desk,https://www.theweek.in/news/world/2024/07/11/not-yuddha-we-gave-the-world-buddha-what-pm-modi-said-in-austria-10-quotes.html,Neutral,1,Correct,
TheWeek,7/10/2024,NEWSALERT,PTI,https://www.theweek.in/wire-updates/national/2024/07/10/lgd3-newsalert-sc-wb-cbi-consent.html,Neutral,1,Correct,
TheWeek,7/11/2024,8-year-old girl gang-raped and murdered by school seniors; body thrown into canal,Web Desk,https://www.theweek.in/news/india/2024/07/11/8-year-old-girl-gang-raped-and-murdered-by-school-seniors-body-thrown-into-canal.html,Negative,0.286,Correct,
The Wire,7/10/2024,Arrest of Anti-Dam Activists in Arunachal a Violation of Rights of Indigenous Communities',Aathira Perinchery,https://thewire.in/rights/arrest-of-anti-dam-activists-in-arunachal-a-violation-of-rights-of-indigenous-communities,Negative,0.359,Correct,
The Wire,7/10/2024,These Are the 14 Herbal Products Which Patanjali Told the SC it Will Withdraw From Stores,The Wire Staff,https://thewire.in/law/patanjali-ayurved-tells-sc-it-has-stopped-sale-of-14-herbal-products-whose-linceses-were-suspended,Neutral,1,Correct,
The Wire,7/10/2024,Prioritise Media Freedom and Safety of Journalists: International Press Institute to Modi Govt,The Wire Staff,https://thewire.in/media/prioritise-media-freedom-and-safety-of-journalists-international-press-institute-to-modi-govt,Positive,0.389,Correct,
The Wire,7/10/2024,Covaxin: Bharat Biotech U-Turn Means It Will Share IP With ICMR But Patent Office Questions Patentability,Banjot Kaur,https://thewire.in/health/covaxin-bharat-biotech-icmr-intellectual-property,Positive,0.096,Correct,
The Wire,7/10/2024,"Modi's Russia Visit: Raised 'Concerns Directly' with Indian Government, Says US",The Wire Staff,https://thewire.in/diplomacy/modis-russia-visit-raised-concerns-directly-with-indian-government-says-us,Neutral,1,Correct,
The Wire,7/10/2024,Modi Cannot be Modified – and It's Not a Good Thing,Sanjay K. Jha,https://thewire.in/politics/narendra-modi-rahul-gandhi-rigid-unchanging,Negative,0.231,Correct,
The Wire,7/10/2024,"Victim of ED's Witch-Hunt, No Proof of AAP Receiving Kickbacks': Kejriwal To Delhi High Court",The Wire Staff,https://thewire.in/law/victim-of-eds-witch-hunt-no-proof-of-aap-receiving-kickbacks-kejriwal-to-delhi-high-court,Negative,0.249,Correct,
The Wire,7/10/2024,Muslim Woman Can Ask For Maintenance From Husband Under Section 125 CrPC: SC,The Wire Staff,https://thewire.in/rights/muslim-woman-can-ask-for-maintenance-from-husband-under-section-125-crpc-sc,Neutral,1,Correct,
The Wire,7/10/2024,Ebbing Public Trust in Election Process Can and Must Be Reversed,Ritu Rao and Sanjay Kumar,https://thewire.in/government/ebbing-public-trust-in-election-process-can-and-must-be-reversed,Positive,0.248,Correct,
The Wire,7/10/2024,"Anukathir Surya: In a First, IRS Officer Gets Approval for Changing Name and Gender",N. Rahul,https://thewire.in/rights/anukathir-surya-irs-officer-change-name-gender,Positive,0.205,Correct,
The Wire,7/10/2024,Does the World Want America to Be Back?,Omair Ahmad,https://thewire.in/world/does-the-world-want-america-to-be-back,Positive,0.157,Correct,
The Wire,7/10/2024,Salaries of IIT Graduates Take a Hit in 2024 Amid Hiring Slowdown,The Wire Staff,https://thewire.in/education/salaries-of-iit-graduates-take-the-hit-in-2024-amid-hiring-slowdown,Neutral,1,Correct,
The Wire,7/10/2024,SC Finds Bengal Govt's Suit Against CBI's Cases Maintainable,The Wire Staff,https://thewire.in/law/supreme-court-cbi-bengal-maintainable,Neutral,1,Correct,
The Wire,7/10/2024,"UN Experts Sound Alarm on Gaza Famine, Accuse Israel of 'Genocidal Violence'",The Wire Staff,https://thewire.in/world/un-experts-sound-alarm-on-gaza-famine-accuse-israel-of-genocidal-violence,Negative,0.48,Correct,
The Wire,7/10/2024,Judge Who Was Last in News for Sentencing 38 People to Death Made Gujarat's Prosecution Director,The Wire Staff,https://thewire.in/government/judge-who-made-headlines-for-sentencing-38-people-to-death-made-gujarats-prosecution-director,Negative,0.401,Correct,
The Wire,7/10/2024,What the Government's Drive to Formalise MSMEs Ignores,Kinjal Sampat,https://thewire.in/labour/formalise-msme-registration-udyam-gst,Negative,0.231,Correct,
The Wire,7/9/2024,Modi’s Embrace Leaves Allies Weak and Voiceless,P. Raman,https://thewire.in/politics/modi-allies-nda-parties-weak-voiceless,Negative,0.284,Correct,
The Wire,7/10/2024,Raised Ukraine Conflict with Putin: Modi Responds to Outrage Over Putin Hug After Kyiv Hospital Attack,Devirupa Mitra,https://thewire.in/diplomacy/narendra-modi-vladimir-putin-ukraine-president-us,Negative,0.366,Correct,
The Wire,7/8/2024,The Inaugural Session of 18th Lok Sabha Gave Cornered Opposition a New Lease of Life,Ajoy Ashirwad Mahaprashasta,https://thewire.in/politics/lok-sabhas-inaugural-session-a-buoyant-opposition-subdued-bjp-and-plurality-of-voices,Negative,0.139,Correct,
The Wire,7/10/2024,"Modi Government Completes First Month Amidst Reports of Leakage, Seepage and Collapse of Bridges",Soroor Ahmed,https://thewire.in/politics/modi-government-completes-first-month-amidst-reports-of-leakage-seepage-and-collapse-of-bridges,Negative,0.198,Correct,
The Wire,7/9/2024,"Marine Drive's Hordes May Feel Futile to Some, But it Is Belated Reward For a Juggernaut of a Team",Parth Pandya,https://thewire.in/sport/india-cricket-t20-world-cup-marine-drive-mumbai-crowd,Positive,0.23,Correct,
The Wire,7/9/2024,"Ahead of the Assembly Polls, Hemant Soren's JMM Has Scripted a Comeback",Nalin Verma,https://thewire.in/politics/ahead-of-the-assembly-polls-hemant-sorens-jmm-has-scripted-a-comeback,Neutral,1,Correct,
The Wire,7/10/2024,Why Media Organisations Need to Appoint More Foreign Correspondents,Sanjaya Baru,https://thewire.in/books/why-media-organisations-need-to-appoint-more-foreign-correspondents,Neutral,1,Correct,
The Wire,7/9/2024,Complicity: On Revelations by Alice Munro's Daughter,Varsha Tiwary,https://thewire.in/books/alice-munros-daughter-step-father-abuse-complicity,Neutral,1,Correct,
The Wire,7/8/2024,Beyond the Film Maharaj: Uncovering the Legacy of Karsandas Mulji and the Libel Case,Amrita Shodhan,https://thewire.in/culture/beyond-the-film-maharaj-uncovering-the-legacy-of-karsandas-mulji-and-the-libel-case,Neutral,1,Correct,
The Wire,7/8/2024,"PM Modi Arrives in Moscow, to Hold Talks with Putin to Boost India-Russia Bilateral Ties",The Wire Staff,https://thewire.in/diplomacy/pm-modi-arrives-in-moscow-to-hold-talks-with-putin-to-boost-india-russia-bilateral-ties,Positive,0.162,Correct,
The Wire,7/8/2024,UK: Victorious Labour Offers Business as Usual on Big Picture Issues When What People Want is Change,Inderjeet Parmar,https://thewire.in/world/labour-business-as-usual-people-want-change,Positive,0.075,correct,
The Wire,7/10/2024,"Can't Send Back Refugees Fleeing Bangladesh Army,' Mizoram CM Lalduhoma Tells PM Modi",No Author,https://thewire.in/politics/lalduhoma-mizoram-chief-minister-modi-refugees,Neutral,1,Author Missing ,The Wire Staff is the Author according to the web page which is missing in excel sheet
The Wire,7/10/2024,Rahul Gandhi's Humane Hinduism Totally Differs from Violent and Hateful Hindutva of BJP-RSS,Ram Puniyani,https://thewire.in/politics/rahul-gandhis-humane-hinduism-totally-differs-from-violent-and-hateful-hindutva-of-bjp-rss,Negative,0.401,correct,
The Wire,7/9/2024,"From Gandhi’s Satyagrahis to Rahul's ‘Abhay Mudra’, a Lesson on Fearlessness",S.N. Sahu,https://thewire.in/society/gandhi-satyagraha-rahul-abhay-mudra-fearless,Positive,0.189,Correct,
The Wire,7/10/2024,"Deeply Hurt' with BJP Over Not Finding Place in Union Cabinet, Says Karnataka Dalit MP",No Author,https://thewire.in/politics/deeply-hurt-with-bjp-over-not-finding-place-in-union-cabinet-says-dalit-mp-ramesh-jigajinagi,Negative,0.209,Author Missing ,The Wire Staff is the Author according to the web page which is missing in excel sheet
The Wire,7/10/2024,"Delhi Excise Policy Case: Court Takes Cognisance of ED Chargesheet Making Kejriwal, AAP accused",The Wire Staff,https://thewire.in/law/delhi-excise-policy-case-court-takes-cognisance-of-ed-chargesheet-making-kejriwal-aap-accused,Negative,0.145,correct,
The Wire,7/10/2024,"18 Dead, 19 Injured as Sleeper Bus Collides With Milk Tanker In Uttar Pradesh",The Wire Staff,https://thewire.in/government/18-dead-19-injured-as-sleeper-bus-collides-with-milk-tanker-in-uttar-pradesh,Negative,0.453,correct,
The Wire,7/10/2024,"Gaza Death Toll Could Be Five Times Higher Than Health Ministry Estimates, Lancet Article Says",The Wire Staff,https://thewire.in/world/gaza-death-toll-up-to-186000-lancet-correspondence,Negative,0.218,Incorrect Heading ,"""Gaza Deaths Could Eventually Be Five Times Higher than Current Toll"" is the heading in web page which is different from the excel data"